Product ID,Device Subtitle,Device Title,Key Feature_1,Key Feature_2,Key Feature_3,Key Feature_4,Key Feature_5,Key Feature_6,Product description,Device Type,Network Technology,LTE catagory support,Contact_Address,Contact_Phone,Contact_Email,Hardware_Antenna,Hardware_Battery,Hardware_Display Resolution,Hardware_Ethernet Posts,Hardware_Sim Type,Hardware_USB ports,Hardware_Voltage supply,Other_Accelerometer,Other_Z-Wave,Other_Audio,Other_Battery safety,Other_Bluetooth,Other_Camera,Other_Dual SIM,Other_E911,Other_eUICC,Other_GNSS,Other_GPSS,Other_GPS,Other_Keyboard,Other_Keyboard,Other_Magnetic card reader,Other_RJ-11,Other_Scanning tech,Other_Serial,Other_Smart card reader,Other_Voice transmission capable,Other_Wifi,Zigbee,FoTA For Baseband/Modem Software Update Capability,FoTA Client Type,Operating System,Soft_Developer Kit,Soft_Diagnostics,Soft_Security Level,Soft_EMS,Soft_MMS,Soft_Remote Management,Soft_SMS Capability,Soft_WEA,Soft_Persistent Prefix IPv6,Soft_Mobile Private Network,Soft_FWA,Soft_Split Data Routing,Soft_Multi-APN,Soft_Global Capable,Soft_Private Wireless Network,Chassis_Dimensions,Chassis_Weight,Chassis_Operating Temperature,Chassis_Storage Temperature,Chassis_Relative Humidity,Chassis_Rain & dust resistance,Chassis_Vehicle Mounting,Network_NAT,Network_Routing Protocols,Network_Security Protocol,Network_VPN Support,Network_Numbershare,Network_Fax capable,Network_Firewall,Network_UMTS,Network_LTE,Network_LTE Global/Roaming,Network_5G,Network_5G Global/Roaming,Network_GPRS,Network_GSM,Contact_Website,Contact_Address,Contact_Phone,Contact_Email,Industry
27843,Sierra Wireless,XR60 5G 9291,5 Gigabit Ethernet Port,WiFi 6,Serial/USB Interface,IP64 Rating,,,"The AirLink® XR is a high performance 5G networking platform, purpose built to provide secure, always-on connectivity for mission critical and business applications in public safety, industrial and enterprise. With 5G connectivity, the AirLink XR60 offers 5G sub-6 GHz and LTE Cat-20 to provide high speed connectivity in 4G and 5G coverage. AirLink delivers best in-class performance and reliability, whilst ensuring continual operation even in harsh environments.",Router,LTE with GSM/UMTS and 5G NR NSA,Cat 20,"13811 Wireless Way Richmond, British Columbia Canada, V6V 3A4",877-687-7795,sales@sierrawireless.com,—,—,—,2,Standard/Industrial Mini SIM (2FF),1,7 to 36 VDC,—,—,—,—,—,—,—,—,—,—,—,Checked,—,—,—,—,—,Checked,—,—,Checked,—,Verizon FoTA Solution (only),LWM2M,Linux,—,—,"Security Level 1,(Regular OD devices. Minimum security requirements mandated.)",—,—,—,—,—,—,Checked,Checked,—,—,—,"LTE Licensed,5G Licensed,5G CBRS",—,—,-30 °C to 70 °C,-40 °C to 85 °C,95% RH @ 60C,Checked,—,Yes,"Static, Policy Based","SSH, HTTPS, TLS, DTLS",IPsec,N - no Numbershare,—,—,Checked,"Band2 (1900 MHz), Band4 (1700 MHz), Band5 (850MHz), Band13 (700 MHz), Band48 (3500 MHz), Band66 (1700 MHz)","Band1 (2100MHz), Band3 (1800MHz), Band7 (2600 MHz), Band8 (900 MHz), Band12 (700 MHz), Band14 (700 MHz), Band17 (700 MHz), Band18 (850 MHz), Band20 (800 MHz), Band25 (1900 MHz), Band26 (850 MHz), Band28 (700 MHz), Band40 (2300 MHz), Band41 (2500 MHz), Band46 (5200 MHz)","NSA FR1 (Sub6) n2, NSA FR1 (Sub6) n5, NSA FR1 (Sub6) n66, NSA FR1 (Sub6) n77","NSA FR1 Roaming n66, NSA FR1 Roaming n77, NSA FR1 Roaming n78",,,www.sierrawireless.com,"13811 Wireless Way Richmond, British Columbia Canada, V6V 3A4",1-877-231-1144,support@sierrawireless.com,"Construction, Distribution, Government, Healthcare, Industrial / Manufacturing, Transportation"
28342,Alula,RE930-2,Alarm communicator,,,,,,Alarm communicator used in security applications to allow control and monitoring of security systems.,Alarm Panel,LTE with GSM/UMTS,Cat M1,"428 Minnesota Street, St Paul, MN 55101",888-88-ALULA,SALES@ALULA.NET,—,N/A,N/A,0,Standard/Industrial Micro SIM (3FF),1,8-14VDC,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,Verizon FoTA Solution and Non Verizon FoTA solution (combined),LWM2M,Other,—,—,"Security Level 1,(Regular OD devices. Minimum security requirements mandated.)",—,—,—,—,—,—,Checked,—,—,—,—,—,xx,—,—,—,—,—,—,—,—,—,—,N - no Numbershare,—,—,—,"Band4 (1700 MHz), Band13 (700 MHz)",,,,,,alula.com,"428 Minnesota Street, St Paul, MN 55101",888-88-ALULA,SUPPORT@ALULA.NET,Residential / Consumer
27812,Sierra Wireless,GL7812,IoT Modem,,,,,,"The GL7812 is a wireless modem that allows users to connect to a wireless network. It offers data connectivity on GNSS, 2G, and Cat-M1 networks.. It was designed using the HL7812 embedded module.",Modem,LTE with GSM/UMTS,Cat M1,"13811 Wireless Way Richmond, BC V6V3A4 CA",877-687-7795,sales@sierrawireless.com,—,—,—,0,Standard/Industrial Mini SIM (2FF),1,6-24V,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,Checked,—,—,—,—,Verizon FoTA Solution (only),LWM2M,Other,—,—,—,—,—,—,—,—,—,Checked,—,—,—,Checked,—,6.7x5.15x2.35 in.,1.45 oz,-30 °C to 70 °C,-40 °C to 85 °C,85%,—,—,—,—,—,—,N - no Numbershare,—,—,—,"Band4 (1700 MHz), Band13 (700 MHz)",Band12 (700 MHz),"1800 MHz, 1900 MHz, 850 MHz, 900 MHz",,,,www.sierrawireless.com,"13811 Wireless Way Richmond, BC V6V3A4 CA",877-231-1144,support@sierrawireless.com,Retail
28487,Inseego,Inseego MIFI X Pro 5G UW,Mobile hotspot supports up to 32 Wi-Fi devices connected simultaneously.,Supports wired devices to the USB-C or Ethernet port.,5050 mAh Li-Ion battery (Included),NIST FIPS 140-2 compliance,On-Site Private Network Support,,"PRO speed. PRO security. PRO simplicity. The MiFi X PRO 5G offers seamless remote access, and easy setup, delivering an unparalleled 5G experience with speeds up to 1 Gbps.",Modem,LTE with GSM/UMTS and 5G NR NSA,Cat 20,Steve Kolton,973-632-8965,steve.kolton@inseego.com,—,5050 mAh Li-Ion battery (Included),2.4” IPS color touchscreen display,1,Not Applicable,1,18W Qualcomm® Quick Charge™ 3.0 charger,—,—,—,—,—,—,—,—,—,—,—,Checked,—,—,—,—,—,—,—,—,—,—,Verizon FoTA Solution (only),OMADM,Linux,—,—,"Security Level 1,(Regular OD devices. Minimum security requirements mandated.)",—,—,Checked,Checked,—,—,Checked,—,—,—,—,"LTE CBRS,5G Licensed",5.9x2.91x0.74 in.,8.5 lbs,14 °F to 131 °F,—,—,—,—,—,—,—,—,N - no Numbershare,—,Checked,Checked,"Band2 (1900 MHz), Band4 (1700 MHz), Band5 (850MHz), Band13 (700 MHz), Band48 (3500 MHz), Band66 (1700 MHz)","Band1 (2100MHz), Band3 (1800MHz), Band7 (2600 MHz), Band12 (700 MHz), Band40 (2300 MHz), Band46 (5200 MHz)","NSA FR1 (Sub6) n2, NSA FR1 (Sub6) n5, NSA FR1 (Sub6) n66, NSA FR1 (Sub6) n77, NSA FR2 (mmWave) n260, NSA FR2 (mmWave) n261","NSA FR1 Roaming n66, NSA FR1 Roaming n77, NSA FR1 Roaming n78, NSA FR2 Roaming n257","1800 MHz, 1900 MHz, 850 MHz, 900 MHz","1800 MHz, 1900 MHz, 850 MHz, 900 MHz",inseego.com,Gautam Patel,858-812-3437,gautam.patel@inseego.com,"Agricultural, Construction, Distribution, Education, Financial Services, Government, Healthcare, Hospitality"
20995,"IFM EFECTOR, INC.",io-key,io-key Cellular IoT Gateway for IO-Link sensors,IO-Link sensor data is sent directly via mobile network to the cloud,Two IO-Link sensors can be connected,,,,Cellular gateway for IO-Link sensors . IO-Link sensor data is sent directly via mobile network to the cloud Two IO-Link sensors can be connected .,Remote Monitoring and Control,LTE with GSM/UMTS,Cat M1,"ifm efector, inc. 1100 Atwater Dr. Malvern, PA 19355",800-441-8246,cs.us@ifm.com,—,no,—,0,Standard Nano SIM (4FF),0,24VDC,—,—,—,—,Checked,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,Verizon FoTA Solution and Non Verizon FoTA solution (combined),LWM2M,RTOS,—,—,"Security Level 1,(Regular OD devices. Minimum security requirements mandated.)",—,—,—,—,—,—,Checked,—,—,—,—,—,9.74x11.3x3.25 in.,5.38 oz,-20 °C to 50 °C,-20 °C to 50 °C,90%,Checked,—,—,MQTTs,TLS,—,N - no Numbershare,—,—,—,"Band4 (1700 MHz), Band13 (700 MHz)","Band1 (2100MHz), Band3 (1800MHz), Band12 (700 MHz)","1800 MHz, 1900 MHz, 850 MHz, 900 MHz",,,,ifm.com,"ifm efector, inc. 1100 Atwater Dr. Malvern, PA 19355",800-441-8246,info.us@ifm.com,"Agricultural, Distribution, Industrial / Manufacturing, Professional Services, Real Estate"
21227,TEKTELIC Communications Inc.,Kona Micro Gen2 IoT Gateway,Carrier grade IoT gateway,Indoor operation between 0°C to +40°C a 5-95% relative humidity,"Supports Class A, B and C end devices","Supports popular global ISM bands including: US915, EU868, AS923","Powered through AC adapter or 48Vdc nominal PoE, with optional battery backup",,TEKTELIC’s KONA Micro Gen2 IoT Gateway provides network operators with an indoor carrier grade product for the deployment of LoRaWAN® Internet of Things networks. It is ideal for public and private network operators that require operation in the North American ISM band with cost effective and reliable LoRaWAN gateways to maximize their network investment.,Remote Monitoring and Control,LTE with GSM/UMTS,Cat 1,"7657 10 St NE, Calgary, AB, Canada T2E 8X2",403-338-6900,bbarnowski@tektelic.com,—,Optional battery backup,None,1,Standard Nano SIM (4FF),—,12 Vdc,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,Verizon FoTA Solution (only),LWM2M,Linux,—,—,"Security Level 1,(Regular OD devices. Minimum security requirements mandated.)",—,—,Checked,—,—,—,Checked,—,—,—,—,—,12x12x4.1 in.,0.74 lbs,0 °C to 40 °C,0 °C to 40 °C,5%-95% non-condensing,—,—,—,—,"SSH, HTTPS, MQTT over TLS",We support OpenVPN,N - no Numbershare,—,Checked,—,"Band4 (1700 MHz), Band13 (700 MHz)",,,,,,tektelic.com,"7657 10 St NE, Calgary, AB, Canada T2E 8X2",403-338-6941,support@tektelic.zohodesk.com,"Agricultural, Construction, Distribution, Government, Healthcare, Industrial / Manufacturing, Oil and Gas, Transportation"
26560,Velocitor Solutions,VT-DCAI-02,M2M onboard OS,,,,,,"Velocitor Solutions VT-DCAI-02 is a functional Mobile Digital Video Recorder specially designed for vehicle video surveillance. It has a high-speed processor and embedded operating system, combining with the most advanced H.265 video compression / decompression technology, GPS positing technology.",Camera,LTE Only,Cat 4,"851 Blairhill Rd Charlotte,NC 28217 United States",(704)654-0021,jim.becker@velocitor.com,,,,,,—,—,—,—,—,—,—,Checked,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,Verizon FoTA Solution and Non Verizon FoTA solution (combined),LWM2M,Linux,—,—,"Security Level 1,(Regular OD devices. Minimum security requirements mandated.)",—,—,—,—,—,—,Checked,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,N - no Numbershare,—,—,—,"Band2 (1900 MHz), Band4 (1700 MHz), Band5 (850MHz), Band13 (700 MHz), Band66 (1700 MHz)",,,,,,www.velsol.com,"851 Blairhill Rd Charlotte,NC 28217 United States",(704)654-0021,jim.becker@velocitor.com,"Agricultural, Airborne Usage, Construction, Distribution, Education, Financial Services, Government, Healthcare"
14438,Nomad Digital Ltd.,R5001 CCU,"Railway Communication, Bandwidth aggregation, High bandwidth, 1/10Gig Ethernet",,,,,,"Nomad Digital’s R5001 rugged high performance Communications Control Unit (CCU) for mobile communications systems is designed for high data throughput applications in harsh environments, such as railway rolling stock. The R5001 is a cost-effective and future-proofed system based on open standard CompactPCI® Serial.",Router,LTE Only,Cat 11,"Nomad Digital Inc., Suite 201, 9707 Key West Avenue, Rockville, MD 20850, USA",+1 (240) 479-4633,experts@nomad-digital.com,—,None,None,3,SIM1 - Standard/Industrial Micro SIM (3FF),SIM2 - Standard/Industrial Micro SIM (3FF),,—,—,—,—,—,—,Checked,—,—,—,Checked,Checked,—,—,—,—,—,—,—,—,—,—,Verizon FoTA Solution and Non Verizon FoTA solution (combined),OMADM,Linux,—,—,None,—,—,Checked,—,—,—,Checked,Checked,—,—,—,—,25.88x17.746x25.46 in.,13.106 lbs,-40 °C to +70 °C,-40 °C to +85 °C,5-95%,—,Checked,"As all traffic is point to point, no direct NATting is required. Traffic encapsulated within the tunnel which is destined for the public internet is NATted at our datacentre.",All traffic across the cellular network will be point to point between the modem and a defined end point located at our datacentre. Traffic encapsulated within the tunnel is then routed across private IP ranges on both the train and ground side.,"The Telit LM940 modules are used to provide a train to ground layer 3 link which is implemented as a tunnel using plain, unencrypted UDP","As documented above, traffic across the cellular link is plain, unencrypted UDP. Traffic encapsulated within the tunnel can support any layer 3 encryption such as IPSec, hence multiple VPNs can be established. This is transparent to the cellular link.",N - no Numbershare,—,Checked,—,"Band2 (1900 MHz), Band4 (1700 MHz), Band5 (850MHz), Band13 (700 MHz), Band66 (1700 MHz)",,,,,,www.nomad-digital.com,"Nomad Digital Inc., Suite 201, 9707 Key West Avenue, Rockville, MD 20850, USA",+1 (240) 479-4633,experts@nomad-digital.com,Transportation
24237,Check Point SW Technologies (CheckPoint),1595WC,"Security gateway, commercial grade with Ethernet ports, WiFi and LTE/5G",,,,,,"The Check Point 1595WC Security Appliance delivers enterprise-grade security in a series of simple and affordable, all-in-one security solutions to protect small business employees, networks, and data from cyber theft. The appliance support WiFi and an embedded cellar modem of Sierra (EM9191), with two external SIMs and four external antennas.",Router,LTE with GSM/UMTS and 5G NR NSA,Cat 20,"5 Ha’Solelim street, Tel-Aviv 67897, Israel",+972544600029,aviv@checkpoint.com,—,NA,NA,8,SIM1 - Standard Nano SIM (4FF),SIM2 - Standard/Industrial Micro SIM (3FF),,—,—,—,—,—,—,Checked,—,—,—,—,—,—,—,—,—,—,—,—,—,Checked,—,Verizon FoTA Solution (only),LWM2M,Linux,—,—,"Security Level 1,(Regular OD devices. Minimum security requirements mandated.)",—,—,—,—,—,—,Checked,Checked,—,—,—,"LTE Licensed,LTE CBRS,5G Licensed",8.3x6.7x1.7 in.,1.9 lbs,-45 °F to 60 °F,0 °F to 40 °F,"5-95%, non-condensing",—,—,Yes,"OSPFv2, BGPv4 and 4++, RIP, PIM (SM, DM, SSM), IGMP","Firewall, VPN, User Awareness, QoS, Application Control, URL Filtering, IPS, Anti-Bot, Antivirus, Anti-Spam and SandBlast Threat Emulation (sandboxing)","Yes, VPN AES-128, AES-256, etc'",N - no Numbershare,—,Checked,Checked,"Band2 (1900 MHz), Band4 (1700 MHz), Band5 (850MHz), Band13 (700 MHz), Band48 (3500 MHz), Band66 (1700 MHz)","NSA FR1 (Sub6) n2, NSA FR1 (Sub6) n5, NSA FR1 (Sub6) n66, NSA FR1 (Sub6) n77","NSA FR1 Roaming n66, NSA FR1 Roaming n77, NSA FR1 Roaming n78",,,,www.checkpoint.com,"5 Ha’Solelim street, Tel-Aviv 67897, Israel",+972-545787673,shlomor@checkpoint.com,"Residential / Consumer, Retail"
20939,InHand Networks,VG710-NRQ3-WLAN,CAN,IO,Serial Port,OBD-II,WiFi,,"The InVehicle G710 is a new vehicle LTE gateway developed specially for the Internet of Vehicles (IoV). It provides high-speed and secure connectivity for mission critical applications in a wide range of scenarios, such as police cars, heavy equipment, ambulances, and logistics. Equipped with cloud-based remote fleet management platform, it offers ubiquitous networking and uninterrupted monitoring for logistics management, asset tracking, mobile office and public security.",Router,LTE with GSM/UMTS and 5G NR NSA,Cat 20,"43671 Trade Center Place Ste 100, Dulles VA 20166",7033482988,info@inhandnetworks.com,—,NA,NA,4,Standard/Industrial Mini SIM (2FF),1,9-36V DC,—,—,—,—,Checked,—,—,—,—,—,Checked,Checked,—,—,—,—,—,Checked,—,—,Checked,—,Verizon FoTA Solution (only),LWM2M,Linux,—,—,"Security Level 1,(Regular OD devices. Minimum security requirements mandated.)",—,—,Checked,Checked,—,—,Checked,Checked,Checked,—,—,—,—,—,—,—,95%RH @ 60 degrees Celsius,—,Checked,YES,RIP and Static Routing,SSH and HTTPS,YES,N - no Numbershare,—,Checked,Checked,"Band2 (1900 MHz), Band4 (1700 MHz), Band5 (850MHz), Band13 (700 MHz), Band48 (3500 MHz), Band66 (1700 MHz)","NSA FR1 (Sub6) n2, NSA FR1 (Sub6) n5, NSA FR1 (Sub6) n66, NSA FR1 (Sub6) n77",,,,,,"43671 Trade Center Place Ste 100, Dulles VA 20166",7033482988,zeming.wang@inhandnetworks.com,Transportation
